train start... 
episode: 339, step: 143, reward: 394.8, done: True
episode: 340, step: 131, reward: 366.4, done: True
episode: 341, step: 254, reward: 716.4, done: True
episode: 342, step: 137, reward: 382.5, done: True
episode: 343, step: 127, reward: 352.5, done: True
episode: 344, step: 137, reward: 386.3, done: True
episode: 345, step: 148, reward: 415.5, done: True
episode: 346, step: 142, reward: 399.4, done: True
episode: 347, step: 142, reward: 399.4, done: True
episode: 348, step: 162, reward: 438.5, done: True
episode: 349, step: 130, reward: 365.3, done: True
episode: 350, step: 114, reward: 317.3, done: True
episode: 351, step: 119, reward: 332.3, done: True
episode: 352, step: 139, reward: 388.5, done: True
episode: 353, step: 153, reward: 428.6, done: True
episode: 354, step: 141, reward: 390.7, done: True
episode: 355, step: 120, reward: 322.0, done: True
episode: 356, step: 3, reward: 9.025, done: True
episode: 357, step: 1, reward: 3.0, done: True
episode: 358, step: 139, reward: 394.175, done: True
episode: 359, step: 109, reward: 302.3, done: True
episode: 360, step: 144, reward: 411.1, done: True
episode: 361, step: 146, reward: 398.1, done: True
episode: 362, step: 148, reward: 406.0, done: True
episode: 363, step: 129, reward: 362.3, done: True
episode: 364, step: 142, reward: 403.2, done: True
episode: 365, step: 152, reward: 433.2, done: True
episode: 366, step: 107, reward: 298.2, done: True
episode: 367, step: 113, reward: 316.2, done: True
episode: 368, step: 238, reward: 670.3, done: True
episode: 369, step: 161, reward: 448.8, done: True
episode: 370, step: 149, reward: 416.6, done: True
episode: 371, step: 141, reward: 398.3, done: True
episode: 372, step: 134, reward: 377.3, done: True
episode: 373, step: 143, reward: 400.5, done: True
episode: 374, step: 147, reward: 420.1, done: True
episode: 375, step: 110, reward: 299.6, done: True
episode: 376, step: 139, reward: 388.5, done: True
episode: 377, step: 13, reward: 39.025, done: True
episode: 378, step: 1, reward: 3.0, done: True
episode: 379, step: 162, reward: 455.575, done: True
episode: 380, step: 140, reward: 393.4, done: True
episode: 381, step: 143, reward: 406.2, done: True
episode: 382, step: 139, reward: 382.8, done: True
episode: 383, step: 109, reward: 298.5, done: True
episode: 384, step: 141, reward: 390.7, done: True
episode: 385, step: 127, reward: 356.3, done: True
episode: 386, step: 141, reward: 398.3, done: True
episode: 387, step: 140, reward: 397.2, done: True
episode: 388, step: 139, reward: 388.5, done: True
episode: 389, step: 132, reward: 371.3, done: True
episode: 390, step: 104, reward: 285.4, done: True
episode: 391, step: 144, reward: 403.5, done: True
episode: 392, step: 138, reward: 389.3, done: True
episode: 393, step: 126, reward: 355.2, done: True
episode: 394, step: 131, reward: 362.6, done: True
episode: 395, step: 119, reward: 322.8, done: True
episode: 396, step: 135, reward: 380.3, done: True
episode: 397, step: 125, reward: 348.4, done: True
episode: 398, step: 131, reward: 366.4, done: True
episode: 399, step: 3, reward: 9.025, done: True
episode: 400, step: 1, reward: 3.0, done: True
episode: 401, step: 146, reward: 401.875, done: True
episode: 402, step: 146, reward: 413.3, done: True
episode: 403, step: 138, reward: 383.6, done: True
episode: 404, step: 140, reward: 397.2, done: True
episode: 405, step: 174, reward: 476.4, done: True
episode: 406, step: 151, reward: 430.2, done: True
episode: 407, step: 140, reward: 395.3, done: True
episode: 408, step: 146, reward: 411.4, done: True
episode: 409, step: 134, reward: 373.5, done: True
episode: 410, step: 143, reward: 408.1, done: True
episode: 411, step: 131, reward: 368.3, done: True
episode: 412, step: 144, reward: 405.4, done: True
episode: 413, step: 132, reward: 375.1, done: True
episode: 414, step: 153, reward: 424.8, done: True
episode: 415, step: 134, reward: 377.3, done: True
episode: 416, step: 121, reward: 338.3, done: True
episode: 417, step: 155, reward: 442.2, done: True
episode: 418, step: 124, reward: 345.4, done: True
episode: 419, step: 141, reward: 394.5, done: True
episode: 420, step: 120, reward: 337.2, done: True
episode: 421, step: 2, reward: 6.025, done: True
episode: 422, step: 1, reward: 3.0, done: True
episode: 423, step: 149, reward: 422.275, done: True
episode: 424, step: 162, reward: 451.8, done: True
episode: 425, step: 146, reward: 411.4, done: True
episode: 426, step: 139, reward: 388.5, done: True
episode: 427, step: 148, reward: 413.6, done: True
episode: 428, step: 245, reward: 691.3, done: True
episode: 429, step: 138, reward: 379.8, done: True
episode: 430, step: 149, reward: 410.9, done: True
episode: 431, step: 131, reward: 370.2, done: True
episode: 432, step: 148, reward: 411.7, done: True
episode: 433, step: 109, reward: 294.7, done: True
episode: 434, step: 148, reward: 415.5, done: True
episode: 435, step: 268, reward: 745.1, done: True
episode: 436, step: 128, reward: 359.3, done: True
episode: 437, step: 144, reward: 405.4, done: True
episode: 438, step: 129, reward: 362.3, done: True
episode: 439, step: 119, reward: 336.1, done: True
episode: 440, step: 162, reward: 457.5, done: True
episode: 441, step: 13, reward: 39.025, done: True
episode: 442, step: 1, reward: 3.0, done: True
episode: 443, step: 147, reward: 414.375, done: True
episode: 444, step: 99, reward: 276.1, done: True
episode: 445, step: 112, reward: 307.5, done: True
episode: 446, step: 135, reward: 387.9, done: True
episode: 447, step: 140, reward: 393.4, done: True
episode: 448, step: 130, reward: 361.5, done: True
episode: 449, step: 272, reward: 768.5, done: True
